kernel,backend,family,file,status,detail
cond_transition_bwd_swiglu_flat_triton,triton,conditioned_transition,miniworld_engine/kernels/conditioned_transition/triton/training.py,ok,rel out=1.45e-07 (band 6e-07 declared)
cond_transition_bwd_swiglu_packed_triton,triton,conditioned_transition,miniworld_engine/kernels/conditioned_transition/triton/train_fused.py,ok,rel out=9.10e-08 (band 6e-07 declared)
cond_transition_expand_swiglu_saveact_triton,triton,conditioned_transition,miniworld_engine/kernels/conditioned_transition/triton/train_fused.py,ok,rel H=1.45e-03 AB=8.17e-04 (band 6e-03 declared)
cond_transition_expand_swiglu_triton,triton,conditioned_transition,miniworld_engine/kernels/conditioned_transition/triton/composed.py,ok,rel out=1.45e-03 (band 6e-03 declared)
cond_transition_fwd_b2b_saveact_triton,triton,conditioned_transition,miniworld_engine/kernels/conditioned_transition/triton/training.py,ok,rel Y=2.23e-03 AB=8.17e-04 H=1.45e-03 Out=2.25e-03 Scale=8.13e-04 (band 9e-03 declared)
cond_transition_fwd_b2b_triton,triton,conditioned_transition,miniworld_engine/kernels/conditioned_transition/triton/inference.py,ok,rel out=2.23e-03 (band 9e-03 declared)
cond_transition_squeeze_gate_saveact_triton,triton,conditioned_transition,miniworld_engine/kernels/conditioned_transition/triton/train_fused.py,ok,rel Y=1.81e-03 Out=7.92e-04 Scale=8.13e-04 (band 8e-03 declared)
cond_transition_squeeze_gate_triton,triton,conditioned_transition,miniworld_engine/kernels/conditioned_transition/triton/composed.py,ok,rel out=1.81e-03 (band 8e-03 declared)
cond_transition_swiglu_triton,triton,conditioned_transition,miniworld_engine/kernels/conditioned_transition/triton/training.py,ok,rel out=9.55e-08 (band 4e-07 declared)
layernorm_fwd_rowscale_triton,triton,fused_ln_mask,miniworld_engine/kernels/fused_ln_mask/cute/fused_ln_mask.py,ok,rel out=1.35e-03 (band 5e-03 declared)
gated_projection_bwd_gate_flat_triton,triton,gated_projection,miniworld_engine/kernels/gated_projection/triton/main.py,ok,rel dg=2.89e-03 do=2.27e-03 (band 1e-02 declared)
gated_projection_bwd_gate_triton,triton,gated_projection,miniworld_engine/kernels/gated_projection/triton/main.py,ok,rel dgate=2.89e-03 drep=2.27e-03 (band 1e-02 declared)
gated_projection_gate_flat_triton,triton,gated_projection,miniworld_engine/kernels/gated_projection/triton/main.py,ok,rel out=2.08e-03 (band 8e-03 declared)
gated_projection_gate_triton,triton,gated_projection,miniworld_engine/kernels/gated_projection/triton/main.py,ok,rel out=2.08e-03 (band 8e-03 declared)
layernorm_bwd_split_cuda,cuda,layernorm,miniworld_engine/kernels/layernorm/cuda/layer_norm_cuda_kernel.cu,ok,rel dx=2.85e-03 dw=2.07e-03 db=2.36e-03 (band 1e-02 declared)
layernorm_bwd_reduce_cuda,cuda,layernorm,miniworld_engine/kernels/layernorm/cuda/layer_norm_cuda_kernel.cu,ok,rel dw=2.07e-03 db=2.36e-03 (band 9e-03 declared)
layernorm_fwd_cuda,cuda,layernorm,miniworld_engine/kernels/layernorm/cuda/layer_norm_cuda_kernel.cu,ok,rel y=2.70e-03 mean=4.51e-08 rstd=8.95e-08 (band 1e-02 declared)
layernorm_bwd_atomic_triton,triton,layernorm,miniworld_engine/kernels/layernorm/triton/main.py,ok,rel dx=2.85e-03 dw=2.07e-03 db=2.36e-03 (band 1e-02 declared)
layernorm_bwd_split_triton,triton,layernorm,miniworld_engine/kernels/layernorm/triton/persistent.py,ok,rel dx=2.85e-03 dw=2.07e-03 db=2.36e-03 (band 1e-02 declared)
layernorm_fwd_mmajor_triton,triton,layernorm,miniworld_engine/kernels/layernorm/triton/transpose.py,ok,rel out=2.61e-03 (band 1e-02 declared)
layernorm_fwd_saveact_triton,triton,layernorm,miniworld_engine/kernels/layernorm/triton/main.py,ok,rel out=2.70e-03 (band 1e-02 declared)
layernorm_linear_fwd_sm90_cute,cute,layernorm_linear,miniworld_engine/kernels/layernorm_linear/cute/gemm_layernorm_linear_fused.py,failed,AssertionError: SM90 (H100) only
layernorm_bwd_atomic_strided_triton,triton,layernorm_linear,miniworld_engine/kernels/layernorm_linear/triton/te_style.py,ok,rel dx=2.70e-03 dgamma=1.25e-06 dbeta=2.56e-07 (band 1e-02 declared)
layernorm_bwd_split_mmajor_triton,triton,layernorm_linear,miniworld_engine/kernels/layernorm_linear/triton/mmajor_bwd.py,ok,rel dx=2.70e-03 dgamma=3.55e-07 dbeta=1.71e-07 (band 1e-02 declared)
layernorm_fwd_recompute_noaffine_triton,triton,layernorm_linear,miniworld_engine/kernels/layernorm_linear/triton/recompute.py,ok,rel out=3.26e-03 (band 1e-02 declared)
layernorm_fwd_recompute_triton,triton,layernorm_linear,miniworld_engine/kernels/layernorm_linear/triton/recompute.py,ok,rel out=2.70e-03 (band 1e-02 declared)
layernorm_fwd_saveact_strided_triton,triton,layernorm_linear,miniworld_engine/kernels/layernorm_linear/triton/te_style.py,ok,rel x_normed=2.61e-03 mean=4.26e-08 rstd=1.83e-07 (band 1e-02 declared)
layernorm_linear_bwd_fp32_triton,triton,layernorm_linear,miniworld_engine/kernels/layernorm_linear/triton/pair_bias.py,ok,rel dx=2.36e-03 dln_weight=1.46e-03 dproj_weight=2.76e-03 (band 1e-02 declared)
layernorm_linear_fwd_fp32_triton,triton,layernorm_linear,miniworld_engine/kernels/layernorm_linear/triton/pair_bias.py,ok,rel out=2.16e-03 mean=2.25e-08 rstd=1.79e-07 (band 9e-03 declared)
layernorm_linear_fwd_triton,triton,layernorm_linear,miniworld_engine/kernels/layernorm_linear/triton/fused.py,ok,rel out=4.10e-03 (band 2e-02 declared)
layernorm_stats_triton,triton,layernorm_linear,miniworld_engine/kernels/layernorm_linear/triton/stats.py,ok,rel rstd=1.34e-07 c1=1.55e-07 (band 6e-07 declared)
trimul_gemm_gate_sm100_cute,cute,tm1,miniworld_engine/kernels/tm1/cute/sm100_gate_gemm_collective.py,failed,"OpError: OpError: expects arch to be one of [Arch.sm_100a, Arch.sm_100f, Arch.sm_101a, Arch.sm_101f, Arch.sm_103a, Arch.sm_103f],"
trimul_gemm_sm100_cute,cute,tm1,miniworld_engine/kernels/tm1/cute/_blackwell_dense_gemm.py,failed,"OpError: OpError: expects arch to be one of [Arch.sm_100a, Arch.sm_100f, Arch.sm_101a, Arch.sm_101f, Arch.sm_103a, Arch.sm_103f],"
gated_projection_gate_inplace_flat_triton,triton,tm1,miniworld_engine/kernels/tm1/cute/launch.py,ok,rel out=3.57e-03 (band 1e-02 declared)
gated_projection_gate_packed_flat_triton,triton,tm1,miniworld_engine/kernels/tm1/cute/launch.py,ok,rel out=2.05e-03 (band 9e-03 declared)
trimul_bwd_gate_recompute_triton,triton,tm1,miniworld_engine/kernels/tm1/triton/main.py,ok,rel dLA=2.71e-03 dLB=2.03e-03 dRA=2.59e-03 dRB=2.24e-03 (band 1e-02 declared)
trimul_gemm_gate_triton,triton,tm1,miniworld_engine/kernels/tm1/triton/main.py,ok,rel left=2.08e-03 right=2.09e-03 (band 8e-03 declared)
trimul_outproj_gemm_gate_sm90_cute,cute,tm2,miniworld_engine/kernels/tm2/cute/tm2_cute_kernel.py,failed,"OpError: OpError: expects arch to be sm_90a, but got sm_86"
trimul_outproj_bwd_gate_recompute_triton,triton,tm2,miniworld_engine/kernels/tm2/triton/main.py,ok,rel dA=3.09e-03 dB=2.07e-03 (band 1e-02 declared)
trimul_outproj_gemm_gate_triton,triton,tm2,miniworld_engine/kernels/tm2/triton/main.py,ok,rel out=1.78e-03 (band 8e-03 declared)
transition_cast_cuda,cuda,transition,miniworld_engine/kernels/transition/cuda/transition_cuda_kernel.cu,ok,rel y=3.58e-03 (band 1e-02 declared)
transition_swiglu_cuda,cuda,transition,miniworld_engine/kernels/transition/cuda/transition_cuda_kernel.cu,ok,rel y=3.58e-03 (band 2e-02 declared)
transition_bwd_cuda,cuda,transition,miniworld_engine/kernels/transition/cuda/transition_cuda_kernel.cu,ok,rel dx=4.63e-03 dwa=3.87e-03 dwb=4.24e-03 dws=4.63e-03 (band 2e-02 declared)
transition_bwd_swiglu_gate_sm100_cute,cute,transition,miniworld_engine/kernels/transition/cute/gatebwd_sm100.py,failed,"OpError: OpError: expects arch to be one of [Arch.sm_100a, Arch.sm_100f, Arch.sm_101a, Arch.sm_101f, Arch.sm_103a, Arch.sm_103f],"
layernorm_bwd_privatized_triton,triton,transition,miniworld_engine/kernels/transition/triton/fused.py,ok,rel dx=2.07e-03 dgamma=2.75e-07 dbeta=9.90e-08 (band 9e-03 declared)
layernorm_fwd_recompute_foldstats_triton,triton,transition,miniworld_engine/kernels/transition/cute/fused.py,ok,rel xn=2.28e-03 vs_layer_norm=2.28e-03 (band 9e-03 declared)
transition_bwd_epilogue_triton,triton,transition,miniworld_engine/kernels/transition/cute/gatebwd_sm100.py,ok,rel dA=1.99e-03 dB=2.45e-03 (band 1e-02 declared)
transition_bwd_swiglu_recompute_triton,triton,transition,miniworld_engine/kernels/transition/triton/fused.py,ok,rel h=3.58e-03 dAB=2.49e-03 xn=5.73e-04 (band 1e-02 declared)
transition_bwd_transpose_packed_triton,triton,transition,miniworld_engine/kernels/transition/cute/backward_gatebwd.py,ok,rel contiguous=0.00e+00 strided_view=0.00e+00 (band 1e-04 declared)
transition_expand_swiglu_triton,triton,transition,miniworld_engine/kernels/transition/triton/main.py,ok,rel out=2.85e-03 (band 1e-02 declared)
transition_fold_triton,triton,transition,miniworld_engine/kernels/transition/triton/fold.py,ok,rel B=0.00e+00 S=9.01e-08 B2=1.12e-07 (band 5e-07 declared)
transition_fwd_b2b_ktiled_triton,triton,transition,miniworld_engine/kernels/transition/triton/fused.py,ok,rel out=2.62e-03 (band 1e-02 declared)
transition_fwd_b2b_triton,triton,transition,miniworld_engine/kernels/transition/triton/fused.py,ok,rel out=2.21e-03 (band 1e-02 declared)
transition_layernorm_expand_swiglu_triton,triton,transition,miniworld_engine/kernels/transition/triton/fused.py,ok,rel out=3.58e-03 (band 1e-02 declared)
triangle_attention_bwd_atomic_triton,triton,triangle_attention,miniworld_engine/kernels/triangle_attention/triton/atomic.py,ok,rel dq=1.44e-02 dk=1.38e-02 dv=4.67e-03 dbias=4.14e-03 (band 5e-02)
triangle_attention_bwd_dkdv_triton,triton,triangle_attention,miniworld_engine/kernels/triangle_attention/triton/main.py,ok,rel dk=5.37e-03 dv=5.07e-03 dbias=3.37e-03 (band 2e-02 declared)
triangle_attention_bwd_dq_triton,triton,triangle_attention,miniworld_engine/kernels/triangle_attention/triton/main.py,ok,rel dq=5.45e-03 (band 2e-02 declared)
triangle_attention_bwd_pre_contig_triton,triton,triangle_attention,miniworld_engine/kernels/triangle_attention/triton/atomic.py,ok,rel out=6.20e-03 (band 3e-02 declared)
triangle_attention_bwd_pre_triton,triton,triangle_attention,miniworld_engine/kernels/triangle_attention/triton/main.py,ok,rel out=6.94e-08 (band 5e-07 declared)
triangle_attention_fwd_contig_triton,triton,triangle_attention,miniworld_engine/kernels/triangle_attention/triton/atomic.py,ok,rel out=2.53e-03 m=1.71e-07 (band 1e-02 declared)
triangle_attention_fwd_triton,triton,triangle_attention,miniworld_engine/kernels/triangle_attention/triton/main.py,ok,rel out=2.53e-03 m=1.71e-07 (band 1e-02 declared)
gated_projection_bwd_gate_recompute_flat_triton,triton,triangle_multiplication,miniworld_engine/modules/triangle_multiplication/baseline_dtv1.py,ok,rel d_gate=2.60e-03 d_proj=3.38e-03 (band 1e-02 declared)
trimul_gemm_gate_saveact_triton,triton,triangle_multiplication,miniworld_engine/modules/triangle_multiplication/baseline_dtv1.py,ok,rel ab=2.45e-03 sig_m=1.97e-06 (band 1e-02 declared)
trimul_outproj_gemm_gate_saveact_triton,triton,triangle_multiplication,miniworld_engine/modules/triangle_multiplication/baseline_dtv1.py,ok,rel ab=2.21e-03 sig=1.91e-06 (band 9e-03 declared)
trimul_gemm_gate_packed_sm100_cute,cute,trimul_inproj,miniworld_engine/kernels/trimul_inproj/cute/front_fused_gemm_sm100.py,failed,"OpError: OpError: expects arch to be one of [Arch.sm_100a, Arch.sm_100f, Arch.sm_101a, Arch.sm_101f, Arch.sm_103a, Arch.sm_103f],"
gated_projection_bwd_gate_dropres_triton,triton,trimul_inproj,miniworld_engine/kernels/trimul_inproj/triton/gate_elem.py,ok,rel d_proj=2.04e-03 d_glogit=2.80e-03 d_proj_drop=2.44e-03 d_glogit_drop=1.81e-03 d_proj_preact=2.05e-03 d_glogit_preact=2.96e-03 (band 1e-02 declared)
gated_projection_gate_dropres_triton,triton,trimul_inproj,miniworld_engine/kernels/trimul_inproj/triton/gate_elem.py,ok,rel y=2.67e-03 gate=2.73e-03 y_dropres=2.91e-03 (band 1e-02 declared)
gated_projection_gate_packed_mmajor_triton,triton,trimul_inproj,miniworld_engine/kernels/trimul_inproj/cute/front_train_sm100.py,ok,rel lr_left=2.09e-03 lr_right=2.13e-03 (band 1e-02 declared)
trimul_bwd_gate_packed_recompute_triton,triton,trimul_inproj,miniworld_engine/kernels/trimul_inproj/triton/back_fused.py,ok,rel d_gLlog=1.90e-03 d_pL=2.18e-03 d_gRlog=1.70e-03 d_pR=2.04e-03 (band 9e-03 declared)
trimul_bwd_gate_packed_triton,triton,trimul_inproj,miniworld_engine/kernels/trimul_inproj/triton/back_fused.py,ok,rel d_gLlog=2.12e-03 d_pL=2.08e-03 d_gRlog=2.24e-03 d_pR=3.64e-03 (band 1e-02 declared)
trimul_bwd_gate_transpose_packed_triton,triton,trimul_inproj,miniworld_engine/kernels/trimul_inproj/triton/back_fused.py,ok,rel d_gLlog=2.12e-03 d_pL=2.08e-03 d_gRlog=2.24e-03 d_pR=3.64e-03 d_glogit=0.00e+00 (band 1e-02 declared)
trimul_gemm_gate_mmajor_triton,triton,trimul_inproj,miniworld_engine/kernels/trimul_inproj/triton/bidirectional.py,ok,rel left=2.90e-03 right=1.86e-03 preact_left=3.00e-03 preact_right=2.57e-03 (band 1e-02 declared)
trimul_gemm_gate_packed_mmajor_triton,triton,trimul_inproj,miniworld_engine/kernels/trimul_inproj/triton/front.py,ok,rel left=2.08e-03 right=2.09e-03 (band 9e-03 declared)
trimul_outproj_gemm_sigmoid_triton,triton,trimul_inproj,miniworld_engine/kernels/trimul_inproj/triton/front.py,ok,rel out=1.97e-03 (band 8e-03 declared)
trimul_outproj_layernorm_gemm_gate_triton,triton,trimul_inproj,miniworld_engine/kernels/trimul_inproj/triton/back.py,ok,rel y=2.98e-03 y_residual=2.04e-03 (band 1e-02 declared)
trimul_transpose_triton,triton,trimul_inproj,miniworld_engine/kernels/trimul_inproj/cute/front_sm100.py,ok,rel out=0.00e+00 (band 1e-04 declared)
